ParamsID,Order,a,b,c,IntervalIndices,Offsets
557,1,0,3.67175,-2.30067,"557","0"
558,1,0,3.66518,-2.29888,"558","0"
559,1,0,3.65862,-2.29709,"559","0"
560,1,0,3.6521,-2.2953,"560","0"
561,1,0,3.64559,-2.29352,"561","0"
562,1,0,3.63911,-2.29174,"562","0"
563,1,0,3.63265,-2.28996,"563","0"
564,1,0,3.62622,-2.28819,"564","0"
565,1,0,3.61981,-2.28642,"565","0"
566,1,0,3.61342,-2.28465,"566","0"
567,1,0,3.60705,-2.28289,"567","0"
568,1,0,3.6007,-2.28113,"568","0"
569,1,0,3.59438,-2.27937,"569","0"
570,1,0,3.58808,-2.27762,"570","0"
571,1,0,3.5818,-2.27587,"571","0"
572,1,0,3.57555,-2.27412,"572","0"
573,1,0,3.56931,-2.27237,"573","0"
574,1,0,3.5631,-2.27063,"574","0"
575,1,0,3.55691,-2.26889,"575","0"
576,1,0,3.55074,-2.26716,"576","0"
577,1,0,3.54459,-2.26542,"577","0"
578,1,0,3.53846,-2.26369,"578","0"
579,1,0,3.53236,-2.26197,"579","0"
580,1,0,3.52627,-2.26024,"580","0"
581,1,0,3.52021,-2.25852,"581","0"
582,1,0,3.51416,-2.2568,"582","0"
583,1,0,3.50814,-2.25509,"583","0"
584,1,0,3.50214,-2.25337,"584","0"
585,1,0,3.49616,-2.25167,"585","0"
586,1,0,3.4902,-2.24996,"586","0"
587,1,0,3.48426,-2.24825,"587","0"
588,1,0,3.47834,-2.24655,"588","0"
589,1,0,3.47244,-2.24486,"589","0"
590,1,0,3.46655,-2.24316,"590","0"
591,1,0,3.46069,-2.24147,"591","0"
592,1,0,3.45485,-2.23978,"592","0"
593,1,0,3.44903,-2.23809,"593","0"
594,1,0,3.44323,-2.23641,"594","0"
595,1,0,3.43745,-2.23473,"595","0"
596,1,0,3.43169,-2.23305,"596","0"
597,1,0,3.42594,-2.23138,"597","0"
598,1,0,3.42022,-2.2297,"598","0"
599,1,0,3.41451,-2.22804,"599","0"
600,1,0,3.40883,-2.22637,"600","0"
601,1,0,3.40316,-2.2247,"601","0"
602,1,0,3.39751,-2.22304,"602","0"
